"row","Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1",0,1975,"Stratum_1"," [count*km2/nmile2]",0,0,0
"2",0,1976,"Stratum_1"," [count*km2/nmile2]",0,0,0
"3",0,1977,"Stratum_1"," [count*km2/nmile2]",0,0,0
"4",0,1978,"Stratum_1"," [count*km2/nmile2]",0,0,0
"5",0,1979,"Stratum_1"," [count*km2/nmile2]",0,0,0
"6",0,1980,"Stratum_1"," [count*km2/nmile2]",0,0,0
"7",0,1981,"Stratum_1"," [count*km2/nmile2]",0,0,0
"8",0,1982,"Stratum_1"," [count*km2/nmile2]",0,0,0
"9",0,1983,"Stratum_1"," [count*km2/nmile2]",0,0,0
"10",0,1984,"Stratum_1"," [count*km2/nmile2]",0,0,0
"11",0,1985,"Stratum_1"," [count*km2/nmile2]",0,0,0
"12",0,1986,"Stratum_1"," [count*km2/nmile2]",0,0,0
"13",0,1987,"Stratum_1"," [count*km2/nmile2]",0,0,0
"14",0,1988,"Stratum_1"," [count*km2/nmile2]",0,0,0
"15",0,1989,"Stratum_1"," [count*km2/nmile2]",0,0,0
"16",0,1990,"Stratum_1"," [count*km2/nmile2]",0,0,0
"17",0,1991,"Stratum_1"," [count*km2/nmile2]",0,0,0
"18",0,1992,"Stratum_1"," [count*km2/nmile2]",0,0,0
"19",0,1993,"Stratum_1"," [count*km2/nmile2]",0,0,0
"20",0,1994,"Stratum_1"," [count*km2/nmile2]",0,0,0
"21",0,1995,"Stratum_1"," [count*km2/nmile2]",0,0,0
"22",0,1996,"Stratum_1"," [count*km2/nmile2]",0,0,0
"23",0,1997,"Stratum_1"," [count*km2/nmile2]",0,0,0
"24",0,1998,"Stratum_1"," [count*km2/nmile2]",0,0,0
"25",0,1999,"Stratum_1"," [count*km2/nmile2]",0,0,0
"26",0,2000,"Stratum_1"," [count*km2/nmile2]",0,0,0
"27",0,2001,"Stratum_1"," [count*km2/nmile2]",0,0,0
"28",0,2002,"Stratum_1"," [count*km2/nmile2]",0,0,0
"29",0,2003,"Stratum_1"," [count*km2/nmile2]",0,0,0
"30",0,2004,"Stratum_1"," [count*km2/nmile2]",0,0,0
"31",0,2005,"Stratum_1"," [count*km2/nmile2]",0,0,0
"32",0,2006,"Stratum_1"," [count*km2/nmile2]",0,0,0
"33",0,2007,"Stratum_1"," [count*km2/nmile2]",0,0,0
"34",0,2008,"Stratum_1"," [count*km2/nmile2]",0,0,0
"35",0,2009,"Stratum_1"," [count*km2/nmile2]",0,0,0
"36",0,2010,"Stratum_1"," [count*km2/nmile2]",0,0,0
"37",0,2011,"Stratum_1"," [count*km2/nmile2]",0,0,0
"38",0,2012,"Stratum_1"," [count*km2/nmile2]",0,0,0
"39",0,2013,"Stratum_1"," [count*km2/nmile2]",0,0,0
"40",0,2014,"Stratum_1"," [count*km2/nmile2]",0,0,0
"41",0,2015,"Stratum_1"," [count*km2/nmile2]",0,0,0
"42",0,2016,"Stratum_1"," [count*km2/nmile2]",0,0,0
"43",0,2017,"Stratum_1"," [count*km2/nmile2]",0,0,0
"44",0,2018,"Stratum_1"," [count*km2/nmile2]",0,0,0
"45",0,2019,"Stratum_1"," [count*km2/nmile2]",0,0,0
"46",0,2020,"Stratum_1"," [count*km2/nmile2]",0,0,0
"47",0,2021,"Stratum_1"," [count*km2/nmile2]",0,0,0
"48",0,2022,"Stratum_1"," [count*km2/nmile2]",0,0,0
"49",0,2023,"Stratum_1"," [count*km2/nmile2]",0,0,0
"50",0,2024,"Stratum_1"," [count*km2/nmile2]",0,0,0
"51",0,1975,"Stratum_1"," [count*km2/nmile2]",0,0,0
"52",0,1976,"Stratum_1"," [count*km2/nmile2]",0,0,0
"53",0,1977,"Stratum_1"," [count*km2/nmile2]",0,0,0
"54",0,1978,"Stratum_1"," [count*km2/nmile2]",0,0,0
"55",0,1979,"Stratum_1"," [count*km2/nmile2]",0,0,0
"56",0,1980,"Stratum_1"," [count*km2/nmile2]",0,0,0
"57",0,1981,"Stratum_1"," [count*km2/nmile2]",0,0,0
"58",0,1982,"Stratum_1"," [count*km2/nmile2]",0,0,0
"59",0,1983,"Stratum_1"," [count*km2/nmile2]",0,0,0
"60",0,1984,"Stratum_1"," [count*km2/nmile2]",0,0,0
"61",0,1985,"Stratum_1"," [count*km2/nmile2]",0,0,0
"62",0,1986,"Stratum_1"," [count*km2/nmile2]",0,0,0
"63",0,1987,"Stratum_1"," [count*km2/nmile2]",0,0,0
"64",0,1988,"Stratum_1"," [count*km2/nmile2]",0,0,0
"65",0,1989,"Stratum_1"," [count*km2/nmile2]",0,0,0
"66",0,1990,"Stratum_1"," [count*km2/nmile2]",0,0,0
"67",0,1991,"Stratum_1"," [count*km2/nmile2]",0,0,0
"68",0,1992,"Stratum_1"," [count*km2/nmile2]",0,0,0
"69",0,1993,"Stratum_1"," [count*km2/nmile2]",0,0,0
"70",0,1994,"Stratum_1"," [count*km2/nmile2]",0,0,0
"71",0,1995,"Stratum_1"," [count*km2/nmile2]",0,0,0
"72",0,1996,"Stratum_1"," [count*km2/nmile2]",0,0,0
"73",0,1997,"Stratum_1"," [count*km2/nmile2]",0,0,0
"74",0,1998,"Stratum_1"," [count*km2/nmile2]",0,0,0
"75",0,1999,"Stratum_1"," [count*km2/nmile2]",0,0,0
